City,FirstField,FoundTime,InvestCompany,Money,MoneyRound,MoneyTime,Name,Round,SecondField
,文化娱乐,2012.5,,,,,我播盒子																			/ 远峰科技,(获投状态：不明确),视频
,教育,2012.10,,,,,闪译SunCloud,(获投状态：不明确),语言学习
,硬件,2012.1,,,,,爱诺贝iNobel																			/ 上海摩普,(尚未获投),消费电子
,社交网络,2012.12,,,,,Pinstar.ME,(获投状态：不明确),兴趣社区
,企业服务,2007.8,,,,,庚顿数据,(天使轮),数据服务
,企业服务,2010.3,,,,,杭州高高信息,(尚未获投),B2D开发者服务
,工具软件,2013.1,,,,,2d回忆网,(已被收购),其他工具
,本地生活,2013.3,,,,,聚十惠,(获投状态：不明确),本地综合生活
,旅游,2013.3,,,,,读城志,(获投状态：不明确),旅游工具及社区
,工具软件,2012.1,,,,,MOPPO上海摩普,(A+轮),综合工具服务
,工具软件,2013.4,,,,,二维码墓碑,(获投状态：不明确),其他工具
,本地生活,2013.4,,,,,嗨生活																			/ 摩普文化,(尚未获投),本地综合生活
,企业服务,2012.7,,,,,速研,(获投状态：不明确),销售营销
,教育,2005.5,,,,,帮考网,(获投状态：不明确),职业培训
,游戏,2011.5,,,,,蒸汽之城																			/ 梦加网络,(获投状态：不明确),游戏开发商
,教育,2009.12,,,,,家教114网,(获投状态：不明确),K12
,金融,2013.1,,,,,17魔毯,(天使轮),支付
,文化娱乐,2012.6,,,,,微片																			/ 奇石浩宇,(天使轮),影视
,工具软件,2012.10,,,,,碰碰米,(获投状态：不明确),其他工具
,教育,2011.9,,,,,金老师家教																			/ 锦老师家教,(获投状态：不明确),K12
,文化娱乐,2012.8,,,,,爱存美,(尚未获投),艺术
,教育,2012.9,,,,,优倍100网,(获投状态：不明确),K12
,硬件,2013.4,,,,,100+手机																			/ 百加手机,(A轮),消费电子
,游戏,2011.5,,,,,梦加网络,(新三板),游戏综合服务
,医疗健康,2007.6,,,,,爱照护,(A轮),健康保健
,电子商务,2012.12,,,,,佰供网,(A轮),3C电子
,金融,2013.1,,,,,哆啦宝																			/ 哆啦开店宝,(A+轮),支付
,硬件,2012.3,,,,,LEPOW乐泡,(天使轮),消费电子
,医疗健康,2009.4,,,,,嗨乐,(获投状态：不明确),健康保健
,硬件,2007.8,,,,,百分之百数码,(B轮),消费电子
,旅游,2011.1,,,,,村游网,(获投状态：不明确),国内游
,教育,2013.2,,,,,成长网,(获投状态：不明确),儿童早教
,旅游,2012.1,,,,,在路上,(C轮),旅游工具及社区
,电子商务,2013.1,,,,,御库网,(获投状态：不明确),奢侈品
,本地生活,2010.4,,,,,百米																			/ 星云汇聚,(获投状态：不明确),商户服务及信息化
,电子商务,2011.5,,,,,启明眼镜,(天使轮),综合电商
,电子商务,2010.7,,,,,LC风格网,(已被收购),服装服饰
,医疗健康,2012.6,,,,,看处方																			/ 杏仁医生前身,(A轮),寻医诊疗
,汽车交通,2012.7,,,,,滴滴出行,(战略投资),交通出行
,体育运动,2012.1,,,,,上海悦体																			/ 球迷TV,(A轮),体育媒体及社区
,旅游,2006.1,,,,,马蜂窝旅游网,(D轮),旅游综合服务
,文化娱乐,2004.3,,,,,卓创资讯,(获投状态：不明确),媒体及阅读
,教育,2011.10,,,,,Seendio信鸥网,(获投状态：不明确),语言学习
,文化娱乐,2012.3,,,,,视频达人秀																			/ 酷星网络,(A轮),视频
,汽车交通,2012.6,,,,,高速助手																			/ 爱高速,(已被收购),交通出行
,电子商务,2012.10,,,,,决定网,(获投状态：不明确),综合电商
,旅游,2012.9,,,,,旅信顺捷TravelRely,(A轮),跨境游
